Time (sec),Position[2],Position[3],,,,,
1744147813.69843,-5.08402269211648E-14,-7.59875116740839E-14,,,,,
1744147813.70881,-5.01393770070368E-14,-7.95338275300747E-14,,,,,
1744147813.72002,-4.95258731846398E-14,-8.34504528007082E-14,,,,,
1744147813.73171,-4.89950190154232E-14,-8.77599197550038E-14,,,,,
1744147813.74201,-4.85427289545506E-14,-9.24670329264687E-14,,,,,
1744147813.75293,-4.81653850193723E-14,-9.75389739490226E-14,,,,,
1744147813.76361,4.12272973079456E-05,0.000221096873387767,,,,,
1744147813.77348,1.43750697191938E-05,7.70917129106939E-05,,,,,
1744147813.78408,6.86454568293003E-06,2.68802179259996E-05,,,,,
1744147813.79434,2.39351908601657E-06,9.37255236815818E-06,,,,,
1744147813.80563,-7.69112843752555E-05,-0.000108237783086657,,,,,
1744147813.8156,-5.95582552784594E-05,-3.77401821101912E-05,,,,,
1744147813.82618,-2.07666795492054E-05,-1.3159188807148E-05,,,,,
1744147813.83696,-7.24089343771203E-06,-4.58832550345023E-06,,,,,
1744147813.8476,-2.52474343706455E-06,-1.59985013552335E-06,,,,,
1744147813.85753,-8.80323613136612E-07,-5.57833170480628E-07,,,,,
1744147813.86825,-3.06949875675297E-07,-1.94504298851161E-07,,,,,
1744147813.87863,-1.07026817087689E-07,-6.7819346602586E-08,,,,,
1744147813.88871,-3.73179589023726E-08,-2.36470359691735E-08,,,,,
1744147813.89912,-1.30119852850623E-08,-8.24510895346399E-09,,,,,
1744147813.91075,-4.53701898488808E-09,-2.87479606855397E-09,,,,,
1744147813.92289,-1.58198403827134E-09,-1.00229097354812E-09,,,,,
1744147813.93292,-5.51630644733047E-10,-3.49395635227964E-10,,,,,
1744147813.94322,-1.92372814955106E-10,-1.21751288262373E-10,,,,,
1744147813.95356,-6.71122720648209E-11,-4.23821141797419E-11,,,,,
1744147813.96359,-2.34424380333454E-11,-1.47126527581763E-11,,,,,
1744147813.9749,-8.22264247320995E-12,-5.06918765516494E-12,,,,,
1744147813.98547,-2.92416570281342E-12,-1.71049045220967E-12,,,,,
1744147813.99655,-1.08682482587761E-12,-5.42714660182427E-13,,,,,
1744147814.00619,-4.58610613076984E-13,-1.38483740015468E-13,,,,,
1744147814.0175,-2.5500611057007E-13,-1.53790794957564E-16,,,,,
1744147814.02692,-2.03455116817449E-13,4.57488583455377E-14,,,,,
1744147814.03731,-2.10314600962422E-13,5.96734938515989E-14,,,,,
1744147814.04769,-2.44907583683393E-13,6.26658589150179E-14,,,,,
1744147814.05846,-2.99334206767465E-13,6.20373075590892E-14,,,,,
